Name	Completeness	Contamination	Strain_heterogeneity	Genome_size	Contig_N50	GC	Group
B_15_A_1.bin.02	63.73	0.46	0	2.78895	20.689	70.5	B_15
B_15_A_1.bin.03	79.56	0.97	50	3.177186	66.686	72.1	B_15
B_15_A_1.bin.04	94.19	0.46	25	4.145856	29.749	65	B_15
B_15_A_1.bin.05	99.75	0.1	0	5.556278	57.047	62.8	B_15
B_15_A_1.bin.06	99.88	3.22	10.71	9.644274	122.874	71.1	B_15
B_15_A_1.bin.07	100	0	0	4.465746	45.928	41.3	B_15
B_15_A_1.bin.08	97.74	2.7	0	4.787461	87.54	35.3	B_15
B_15_A_1.bin.09	69.61	0.86	0	2.855175	24.235	70.7	B_15
B_15_A_1.bin.10	58.45	6.56	66.67	2.664807	7.655	65	B_15
B_15_A_1.bin.11	82.09	2.1	25	3.19541	12.493	39	B_15
B_15_A_1.bin.13	62.5	6.21	21.95	2.759173	4.592	69.3	B_15
B_15_A_1.bin.15	99.97	0.5	0	4.687626	83.265	35.4	B_15
B_15_A_1.bin.16	89.82	1.89	66.67	3.110229	18.348	69.8	B_15
B_15_A_1.bin.17	70.31	3.29	50	2.545671	15.543	74.5	B_15
B_15_A_2.bin.01	81.46	7.22	60	3.77641	29.349	65	B_15
B_15_A_2.bin.02	94.54	2.14	0	5.803857	73.266	62.6	B_15
B_15_A_2.bin.03	94.56	0.6	66.67	6.779659	36.75	71.8	B_15
B_15_A_2.bin.04	70.99	1	0	3.336821	3.548	64	B_15
B_15_A_2.bin.05	72.13	1.57	71.43	2.811828	6.42	69.8	B_15
B_15_A_2.bin.06	78.3	9.11	10	3.915696	8.962	70.4	B_15
B_15_A_2.bin.07	81.14	2.3	16.67	3.40245	16.537	64.8	B_15
B_15_A_2.bin.08	90.13	1.46	0	4.752601	4.775	40.5	B_15
B_15_A_2.bin.10	72.07	1.58	0	2.781809	12.717	74.2	B_15
B_15_A_2.bin.11	78.17	4.92	50	8.329103	8.038	71.4	B_15
B_15_A_2.bin.12	87.53	0.01	0	4.742294	43.118	62.2	B_15
B_15_A_2.bin.13	100	2.83	0	5.614684	4.49	49.2	B_15
B_15_A_2.bin.14	100	1.75	5.56	5.364844	144.491	35.2	B_15
B_15_A_3.bin.02	82.93	0.57	100	3.114072	16.426	70	B_15
