Name	Completeness_checkM2	Contamination_checkM2	Completeness_checkM1	Contamination_checkM1	Quality	Sample
B_15_A_1.bin.02	63.73	0.46	67.87	0.8	MQ MAG	BCES
B_15_A_1.bin.03	79.56	0.97	71.82	0.35	MQ MAG	BCES
B_15_A_1.bin.04	94.19	0.46	95.26	0.76	HQ MAG	BCES
B_15_A_1.bin.05	99.75	0.1	97.88	0.67	HQ MAG	BCES
B_15_A_1.bin.06	99.88	3.22	97.56	5.06	HQ MAG	BCES
B_15_A_1.bin.07	100	0	98.91	1.39	HQ MAG	BCES
B_15_A_1.bin.08	97.74	2.7	82.76	0	HQ MAG	BCES
B_15_A_1.bin.09	69.61	0.86	50.58	0	MQ MAG	BCES
B_15_A_1.bin.10	58.45	6.56	50.34	4.31	MQ MAG	BCES
B_15_A_1.bin.11	82.09	2.1	89.02	1.05	MQ MAG	BCES
B_15_A_1.bin.13	62.5	6.21	62.75	6.92	MQ MAG	BCES
B_15_A_1.bin.15	99.97	0.5	97.1	2.03	HQ MAG	BCES
B_15_A_1.bin.16	89.82	1.89	80.26	3.84	MQ MAG	BCES
B_15_A_1.bin.17	70.31	3.29	68.19	5.26	MQ MAG	BCES
B_15_A_2.bin.01	81.46	7.22	77.51	7.05	MQ MAG	BCES
B_15_A_2.bin.02	94.54	2.14	97.2	0.67	HQ MAG	BCES
B_15_A_2.bin.03	94.56	0.6	95.16	1.82	HQ MAG	BCES
B_15_A_2.bin.04	70.99	1	77.76	1.62	MQ MAG	BCES
B_15_A_2.bin.05	72.13	1.57	79.04	2.65	MQ MAG	BCES
B_15_A_2.bin.06	78.3	9.11	74.47	7.93	MQ MAG	BCES
B_15_A_2.bin.07	81.14	2.3	81.51	1.1	MQ MAG	BCES
B_15_A_2.bin.08	90.13	1.46	90.68	2.07	HQ MAG	BCES
B_15_A_2.bin.10	72.07	1.58	59.65	0	MQ MAG	BCES
B_15_A_2.bin.11	78.17	4.92	61.99	6.58	MQ MAG	BCES
B_15_A_2.bin.12	87.53	0.01	75.34	0	MQ MAG	BCES
B_15_A_2.bin.13	100	2.83	87.52	0.09	HQ MAG	BCES
B_15_A_2.bin.14	100	1.75	98.05	3.86	HQ MAG	BCES
B_15_A_3.bin.02	82.93	0.57	84.02	0.42	MQ MAG	BCES
B_15_A_3.bin.03	73.06	3.73	69.95	3.02	MQ MAG	BCES
B_15_A_3.bin.04	76.42	3.9	50.48	6.3	MQ MAG	BCES
B_15_A_3.bin.05	99.99	0	99.47	1.12	HQ MAG	BCES
B_15_A_3.bin.06	60.46	3.57	50.88	9.65	MQ MAG	BCES
B_15_A_3.bin.07	100	0.74	99.72	1.38	HQ MAG	BCES
B_15_A_3.bin.08	100	0.8	97.98	2.03	HQ MAG	BCES
B_15_A_3.bin.09	92.96	0.01	94.26	0.05	HQ MAG	BCES
B_15_M_1.bin.01	98.78	0.25	97.94	2.53	HQ MAG	BCES
B_15_M_1.bin.02	60.26	7.66	65.43	5.9	MQ MAG	BCES
B_15_M_1.bin.03	79.96	2.9	61.21	0	MQ MAG	BCES
B_15_M_1.bin.04	95.96	0.49	97.01	0.7	HQ MAG	BCES
B_15_M_1.bin.05	95.22	0.95	97.84	1.17	HQ MAG	BCES
B_15_M_1.bin.06	82.59	3.97	74.94	2.23	MQ MAG	BCES
B_15_M_1.bin.07	86.56	0.51	92.52	0.82	MQ MAG	BCES
B_15_M_1.bin.08	97.98	1.26	97.68	0.18	HQ MAG	BCES
B_15_M_1.bin.09	99.75	0.47	96.89	1.39	HQ MAG	BCES
